game,t,true_goal,posterior_spades,posterior_clubs,posterior_hearts,posterior_diamonds,jev_spades,jev_clubs,jev_hearts,jev_diamonds,brier_posterior,brier_jev,logloss_posterior,logloss_jev,tv_distance,top1_agree,classical_action,jev_action,action_agree,regret
0,12.22,diamonds,0.3347,0.3347,0.1032,0.2274,0.29,0.42,0.13,0.16,0.8316986149584485,0.9829999999999999,1.4811835769104214,1.8325814637483102,0.11210526315789475,False,bid_clubs_7,sell_spades,False,3.3894736842105253
0,12.31,diamonds,0.3347,0.3347,0.1032,0.2274,0.26,0.53,0.1,0.11,0.8316986149584485,1.1506,1.4811835769104214,2.2072749131897207,0.19526315789473686,False,bid_diamonds_5,pass,False,0.0
0,15.43,diamonds,0.4348,0.2871,0.0848,0.1934,0.27,0.52,0.1,0.11,0.9293072509765625,1.1454,1.643204774904918,2.2072749131897207,0.248125,False,ask_clubs_10,pass,False,0.0
0,16.53,diamonds,0.4348,0.2871,0.0848,0.1934,0.24,0.48,0.15,0.13,0.9293072509765625,1.0674000000000001,1.643204774904918,2.0402208285265546,0.258125,False,bid_diamonds_4,pass,False,0.0
0,26.35,diamonds,0.35,0.2167,0.2167,0.2167,0.24,0.49,0.13,0.14,0.83,1.0541999999999998,1.529395204760564,1.9661128563728327,0.2733333333333333,False,bid_hearts_4,pass,False,0.0
1,5.97,diamonds,0.1796,0.3456,0.3456,0.1292,0.18,0.29,0.22,0.31,1.0294864450205163,0.6409999999999999,2.0466329036825774,1.171182981502945,0.1811819290524418,False,bid_spades_3,pass,False,0.0
1,7.8,diamonds,0.1685,0.3315,0.3315,0.1685,0.24,0.39,0.11,0.26,0.9395698254828528,0.7694,1.780821376478655,1.3470736479666092,0.22150031126789793,True,bid_hearts_7,pass,False,0.0
1,9.72,diamonds,0.1685,0.3315,0.3315,0.1685,0.21,0.39,0.17,0.23,0.9395698254828528,0.8180000000000001,1.780821376478655,1.4696759700589417,0.16150031126789793,True,bid_clubs_7,pass,False,0.0
1,12.4,diamonds,0.1549,0.3124,0.3124,0.2202,0.26,0.45,0.12,0.17,0.8272810076938246,0.9734,1.5131223012446207,1.7719568419318752,0.24265350401388586,True,ask_clubs_12,pass,False,0.0
1,14.58,diamonds,0.1549,0.3124,0.3124,0.2202,0.32,0.38,0.12,0.18,0.8272810076938246,0.9336000000000002,1.5131223012446207,1.7147984280919266,0.23265350401388588,True,bid_spades_2,sell_diamonds,False,3.2902292615896434
2,6.69,clubs,0.173,0.2428,0.3414,0.2428,0.24,0.25,0.13,0.38,0.7788091120725981,0.7814,1.4155497192686803,1.3862943611198906,0.21142640364188164,False,ask_diamonds_9,pass,False,0.0
2,11.65,clubs,0.1549,0.3124,0.3124,0.2202,0.32,0.39,0.12,0.17,0.642859224226695,0.5178,1.163367800150462,0.941608539858445,0.24265350401388586,True,ask_hearts_12,sell_hearts,False,5.083315252766328
2,12.75,clubs,0.1549,0.3124,0.3124,0.2202,0.24,0.46,0.06,0.24,0.642859224226695,0.4104,1.163367800150462,0.7765287894989963,0.25243219787372534,True,bid_diamonds_4,sell_hearts,False,5.083315252766328
2,17.39,clubs,0.1336,0.2755,0.3984,0.1925,0.22,0.32,0.22,0.24,0.7385842062448992,0.6167999999999999,1.289268963524239,1.1394342831883648,0.17842290931728577,False,bid_clubs_6,buy_diamonds,False,4.60123123746282
2,20.07,clubs,0.1336,0.2755,0.3984,0.1925,0.28,0.34,0.06,0.32,0.7385842062448992,0.62,1.289268963524239,1.0788096613719298,0.3384229093172858,False,ask_hearts_14,pass,False,0.0
3,3.56,spades,0.2688,0.1935,0.2688,0.2688,0.29,0.46,0.11,0.14,0.7166146375303504,0.7474,1.3137236682850553,1.2378743560016174,0.2876344086021505,False,bid_hearts_5,pass,False,0.0
3,11.65,spades,0.25,0.25,0.25,0.25,0.23,0.64,0.06,0.07,0.75,1.011,1.3862943611198906,1.4696759700589417,0.39,False,ask_diamonds_10,pass,False,0.0
3,19.41,spades,0.2713,0.2713,0.1862,0.2713,0.19,0.51,0.15,0.15,0.712879130828429,0.9612,1.3046163301056233,1.6607312068216509,0.23872340425531918,False,ask_clubs_10,pass,False,0.0
3,20.6,spades,0.2713,0.2713,0.1862,0.2713,0.24,0.45,0.18,0.13,0.712879130828429,0.8294,1.3046163301056233,1.4271163556401458,0.17872340425531918,False,ask_hearts_8,pass,False,0.0
3,25.83,spades,0.25,0.25,0.25,0.25,0.23,0.36,0.13,0.28,0.75,0.8178,1.3862943611198906,1.4696759700589417,0.14,False,bid_hearts_5,pass,False,0.0
4,9.38,spades,0.5011,0.3422,0.0651,0.0916,0.27,0.63,0.06,0.04,0.37862233065069467,0.935,0.6909326566703167,1.3093333199837622,0.28779875563183865,False,bid_clubs_7,pass,False,0.0
4,11.03,spades,0.6109,0.2685,0.0498,0.0708,0.27,0.66,0.04,0.03,0.23102102299924335,0.971,0.49288340270259534,1.3093333199837622,0.3914890154597233,False,bid_clubs_5,pass,False,0.0
4,17.34,spades,0.605,0.2635,0.0657,0.0657,0.2,0.54,0.13,0.13,0.23408827038404226,0.9654000000000003,0.5024919771386821,1.6094379124341003,0.40502108087389804,False,ask_spades_19,pass,False,0.0
4,17.41,spades,0.605,0.2635,0.0657,0.0657,0.21,0.66,0.05,0.08,0.23408827038404226,1.0686,0.5024919771386821,1.5606477482646683,0.4107550785741664,False,ask_clubs_10,pass,False,0.0
4,18.64,spades,0.605,0.2635,0.0657,0.0657,0.21,0.74,0.02,0.03,0.23408827038404226,1.1729999999999998,0.5024919771386821,1.5606477482646683,0.4764890762744347,False,bid_clubs_5,pass,False,0.0
5,20.13,clubs,0.2519,0.5307,0.0898,0.1276,0.25,0.62,0.07,0.06,0.30806167472758006,0.21539999999999998,0.6335828422440151,0.4780358009429998,0.08931297709923666,True,bid_diamonds_1,pass,False,0.0
5,26.22,clubs,0.3261,0.4826,0.0783,0.113,0.21,0.52,0.14,0.13,0.3929300567107751,0.311,0.7285491076108612,0.6539264674066639,0.11608695652173916,True,ask_clubs_16,pass,False,0.0
5,26.85,clubs,0.3172,0.4727,0.105,0.105,0.24,0.67,0.04,0.05,0.4007089294588202,0.17059999999999997,0.7492628832566935,0.40047756659712525,0.19728512960436564,True,ask_hearts_6,pass,False,0.0
5,34.47,clubs,0.3172,0.4727,0.105,0.105,0.25,0.57,0.09,0.09,0.4007089294588202,0.26360000000000006,0.7492628832566935,0.5621189181535413,0.09728512960436561,True,pass,pass,True,0.0
5,37.77,clubs,0.2411,0.5745,0.1109,0.0736,0.25,0.56,0.09,0.1,0.25692429297013225,0.27420000000000005,0.5543364939644727,0.5798184952529423,0.03534116374314198,True,bid_hearts_1,sell_diamonds,False,0.2949282641732993
6,4.62,clubs,0.2895,0.2105,0.2105,0.2895,0.25,0.5,0.1,0.15,0.8351800554016622,0.34500000000000003,1.55814461804655,0.6931471805599453,0.2894736842105263,False,bid_clubs_4,sell_spades,False,1.4912280701754383
6,6.07,clubs,0.2895,0.2105,0.2105,0.2895,0.29,0.48,0.1,0.13,0.8351800554016622,0.3814000000000001,1.55814461804655,0.7339691750802004,0.27,False,ask_spades_11,sell_diamonds,False,0.0
6,8.53,clubs,0.2688,0.1935,0.2688,0.2688,0.23,0.56,0.09,0.12,0.8671522719389524,0.2690000000000001,1.6422277352570913,0.5798184952529423,0.36645161290322575,False,ask_hearts_10,sell_clubs,False,0.0
6,10.21,clubs,0.2688,0.1935,0.2688,0.2688,0.24,0.56,0.1,0.1,0.8671522719389524,0.2712,1.6422277352570913,0.579818495252942,0.3664516129032258,False,bid_clubs_3,buy_spades,False,3.043010752688172
6,18.34,clubs,0.211,0.1488,0.211,0.4292,0.15,0.31,0.27,0.27,0.9978233773569847,0.6443999999999999,1.9052598430924377,1.171182981502945,0.22020028612303286,False,bid_spades_4,pass,False,0.0
