game,t,true_goal,posterior_spades,posterior_clubs,posterior_hearts,posterior_diamonds,jev_spades,jev_clubs,jev_hearts,jev_diamonds,brier_posterior,brier_jev,logloss_posterior,logloss_jev,tv_distance,top1_agree,classical_action,jev_action,action_agree,regret
0,12.22,diamonds,0.3347,0.3347,0.1032,0.2274,0.49,0.45,0.03,0.03,0.8316986149584485,1.3843999999999999,1.4811835769104214,3.506557897319982,0.2705263157894737,True,bid_clubs_7,sell_spades,False,3.3894736842105253
0,12.31,diamonds,0.3347,0.3347,0.1032,0.2274,0.49,0.45,0.03,0.03,0.8316986149584485,1.3843999999999999,1.4811835769104214,3.506557897319982,0.2705263157894737,True,bid_diamonds_5,bid_spades_11,False,0.0
0,15.43,diamonds,0.4348,0.2871,0.0848,0.1934,0.76,0.2,0.02,0.02,0.9293072509765625,1.5783999999999998,1.643204774904918,3.912023005428146,0.325234375,True,ask_clubs_10,pass,False,0.0
0,16.53,diamonds,0.4348,0.2871,0.0848,0.1934,0.8,0.15,0.02,0.03,0.9293072509765625,1.6038000000000001,1.643204774904918,3.506557897319982,0.365234375,True,bid_diamonds_4,pass,False,0.0
0,26.35,diamonds,0.35,0.2167,0.2167,0.2167,0.92,0.05,0.02,0.01,0.83,1.8294,1.529395204760564,4.605170185988091,0.5700000000000001,True,bid_hearts_4,bid_spades_11,False,0.0
1,5.97,diamonds,0.1796,0.3456,0.3456,0.1292,0.07,0.48,0.39,0.06,1.0294864450205163,1.271,2.0466329036825774,2.8134107167600364,0.1788180709475582,True,bid_spades_3,pass,False,0.0
1,7.8,diamonds,0.1685,0.3315,0.3315,0.1685,0.09,0.45,0.4,0.06,0.9395698254828528,1.2542,1.780821376478655,2.8134107167600364,0.18699937746420417,True,bid_hearts_7,pass,False,0.0
1,9.72,diamonds,0.1685,0.3315,0.3315,0.1685,0.07,0.37,0.51,0.05,0.9395698254828528,1.3044,1.780821376478655,2.995732273553991,0.21699937746420417,False,bid_clubs_7,pass,False,0.0
1,12.4,diamonds,0.1549,0.3124,0.3124,0.2202,0.09,0.49,0.39,0.03,0.8272810076938246,1.3412,1.5131223012446207,3.506557897319982,0.25513560425254933,True,ask_clubs_12,pass,False,0.0
1,14.58,diamonds,0.1549,0.3124,0.3124,0.2202,0.07,0.49,0.41,0.03,0.8272810076938246,1.3539999999999999,1.5131223012446207,3.506557897319982,0.27513560425254935,True,bid_spades_2,sell_diamonds,False,3.2902292615896434
2,6.69,clubs,0.173,0.2428,0.3414,0.2428,0.06,0.07,0.77,0.1,0.7788091120725981,1.4713999999999998,1.4155497192686803,2.659260036932778,0.42857359635811837,True,ask_diamonds_9,pass,False,0.0
2,11.65,clubs,0.1549,0.3124,0.3124,0.2202,0.14,0.56,0.23,0.07,0.642859224226695,0.271,1.163367800150462,0.579818495252942,0.2475678021262747,True,ask_hearts_12,sell_hearts,False,5.083315252766328
