game,t,true_goal,posterior_spades,posterior_clubs,posterior_hearts,posterior_diamonds,jev_spades,jev_clubs,jev_hearts,jev_diamonds,brier_posterior,brier_jev,logloss_posterior,logloss_jev,tv_distance,top1_agree,classical_action,jev_action,action_agree,regret
0,12.22,diamonds,0.3347,0.3347,0.1032,0.2274,0.28,0.44,0.15,0.13,0.8316986149584485,1.0514000000000001,1.4811835769104214,2.0402208285265546,0.15210526315789474,False,bid_clubs_7,pass,False,0.0
0,12.31,diamonds,0.3347,0.3347,0.1032,0.2274,0.31,0.46,0.12,0.11,0.8316986149584485,1.1142,1.4811835769104214,2.2072749131897207,0.14210526315789476,False,bid_diamonds_5,pass,False,0.0
0,15.43,diamonds,0.4348,0.2871,0.0848,0.1934,0.29,0.46,0.12,0.13,0.9293072509765625,1.0670000000000002,1.643204774904918,2.0402208285265546,0.208125,False,ask_clubs_10,pass,False,0.0
0,16.53,diamonds,0.4348,0.2871,0.0848,0.1934,0.3,0.43,0.15,0.12,0.9293072509765625,1.0718,1.643204774904918,2.120263536200091,0.208125,False,bid_diamonds_4,pass,False,0.0
0,26.35,diamonds,0.35,0.2167,0.2167,0.2167,0.24,0.51,0.1,0.15,0.83,1.0501999999999998,1.529395204760564,1.8971199848858813,0.29333333333333333,False,bid_hearts_4,pass,False,0.0
1,5.97,diamonds,0.1796,0.3456,0.3456,0.1292,0.16,0.26,0.31,0.27,1.0294864450205163,0.7222,2.0466329036825774,1.3093333199837622,0.14083090301712708,False,bid_spades_3,pass,False,0.0
1,7.8,diamonds,0.1685,0.3315,0.3315,0.1685,0.26,0.29,0.23,0.22,0.9395698254828528,0.8130000000000001,1.780821376478655,1.5141277326297755,0.14300062253579585,True,bid_hearts_7,pass,False,0.0
1,9.72,diamonds,0.1685,0.3315,0.3315,0.1685,0.23,0.27,0.28,0.22,0.9395698254828528,0.8126,1.780821376478655,1.5141277326297755,0.11300062253579585,False,bid_clubs_7,pass,False,0.0
1,12.4,diamonds,0.1549,0.3124,0.3124,0.2202,0.24,0.34,0.27,0.15,0.8272810076938246,0.9685999999999999,1.5131223012446207,1.8971199848858813,0.11265350401388588,True,ask_clubs_12,pass,False,0.0
1,14.58,diamonds,0.1549,0.3124,0.3124,0.2202,0.26,0.44,0.18,0.12,0.8272810076938246,1.068,1.5131223012446207,2.120263536200091,0.2326535040138859,True,bid_spades_2,pass,False,0.0
2,6.69,clubs,0.173,0.2428,0.3414,0.2428,0.13,0.2,0.23,0.44,0.7788091120725981,0.9034000000000002,1.4155497192686803,1.6094379124341003,0.1972078907435508,False,ask_diamonds_9,pass,False,0.0
2,11.65,clubs,0.1549,0.3124,0.3124,0.2202,0.24,0.34,0.12,0.3,0.642859224226695,0.5975999999999998,1.163367800150462,1.0788096613719298,0.1924321978737253,True,ask_hearts_12,sell_hearts,False,5.083315252766328
2,12.75,clubs,0.1549,0.3124,0.3124,0.2202,0.18,0.47,0.16,0.19,0.642859224226695,0.37500000000000006,1.163367800150462,0.7550225842780327,0.1826535040138859,True,bid_diamonds_4,sell_hearts,False,5.083315252766328
2,17.39,clubs,0.1336,0.2755,0.3984,0.1925,0.18,0.38,0.16,0.28,0.7385842062448992,0.5208,1.289268963524239,0.9675840262617056,0.23842290931728577,False,bid_clubs_6,pass,False,0.0
2,20.07,clubs,0.1336,0.2755,0.3984,0.1925,0.24,0.37,0.11,0.28,0.7385842062448992,0.545,1.289268963524239,0.9942522733438669,0.28842290931728576,False,ask_hearts_14,pass,False,0.0
3,3.56,spades,0.2688,0.1935,0.2688,0.2688,0.22,0.43,0.15,0.2,0.7166146375303504,0.8558,1.3137236682850553,1.5141277326297755,0.23645161290322578,False,bid_hearts_5,pass,False,0.0
3,11.65,spades,0.25,0.25,0.25,0.25,0.26,0.52,0.12,0.1,0.75,0.8424,1.3862943611198906,1.3470736479666092,0.28,False,ask_diamonds_10,pass,False,0.0
3,19.41,spades,0.2713,0.2713,0.1862,0.2713,0.22,0.52,0.11,0.15,0.712879130828429,0.9134,1.3046163301056233,1.5141277326297755,0.2487234042553192,False,ask_clubs_10,pass,False,0.0
3,20.6,spades,0.2713,0.2713,0.1862,0.2713,0.23,0.58,0.09,0.1,0.712879130828429,0.9474,1.3046163301056233,1.4696759700589417,0.30872340425531913,False,ask_hearts_8,pass,False,0.0
3,25.83,spades,0.25,0.25,0.25,0.25,0.22,0.47,0.09,0.22,0.75,0.8858,1.3862943611198906,1.5141277326297755,0.21999999999999997,False,bid_hearts_5,pass,False,0.0
4,9.38,spades,0.5011,0.3422,0.0651,0.0916,0.3,0.58,0.07,0.05,0.37862233065069467,0.8337999999999999,0.6909326566703167,1.2039728043259361,0.24271973110205247,False,bid_clubs_7,pass,False,0.0
4,11.03,spades,0.6109,0.2685,0.0498,0.0708,0.32,0.59,0.05,0.04,0.23102102299924335,0.8145999999999999,0.49288340270259534,1.1394342831883648,0.3216517493897477,False,bid_clubs_5,pass,False,0.0
4,17.34,spades,0.605,0.2635,0.0657,0.0657,0.24,0.57,0.07,0.12,0.23408827038404226,0.9218,0.5024919771386821,1.4271163556401458,0.365021080873898,False,ask_spades_19,pass,False,0.0
4,17.41,spades,0.605,0.2635,0.0657,0.0657,0.26,0.61,0.06,0.07,0.23408827038404226,0.9282,0.5024919771386821,1.3470736479666092,0.3507550785741663,False,ask_clubs_10,pass,False,0.0
4,18.64,spades,0.605,0.2635,0.0657,0.0657,0.33,0.56,0.04,0.07,0.23408827038404226,0.769,0.5024919771386821,1.1086626245216111,0.3007550785741664,False,bid_clubs_5,pass,False,0.0
5,20.13,clubs,0.2519,0.5307,0.0898,0.1276,0.21,0.59,0.11,0.09,0.30806167472758006,0.23240000000000002,0.6335828422440151,0.527632742082372,0.07954198473282444,True,bid_diamonds_1,pass,False,0.0
5,26.22,clubs,0.3261,0.4826,0.0783,0.113,0.18,0.63,0.09,0.1,0.3929300567107751,0.1874,0.7285491076108612,0.4620354595965587,0.15913043478260874,True,ask_clubs_16,pass,False,0.0
5,26.85,clubs,0.3172,0.4727,0.105,0.105,0.21,0.69,0.04,0.06,0.4007089294588202,0.1454,0.7492628832566935,0.37106368139083207,0.21728512960436558,True,ask_hearts_6,pass,False,0.0
5,34.47,clubs,0.3172,0.4727,0.105,0.105,0.21,0.6,0.1,0.09,0.4007089294588202,0.22220000000000004,0.7492628832566935,0.5108256237659907,0.1272851296043656,True,pass,pass,True,0.0
5,37.77,clubs,0.2411,0.5745,0.1109,0.0736,0.24,0.56,0.08,0.12,0.25692429297013225,0.272,0.5543364939644727,0.579818495252942,0.04643536048218834,True,bid_hearts_1,pass,False,0.0
6,4.62,clubs,0.2895,0.2105,0.2105,0.2895,0.22,0.51,0.12,0.15,0.8351800554016622,0.3254,1.55814461804655,0.6733445532637656,0.29947368421052634,False,bid_clubs_4,pass,False,0.0
6,6.07,clubs,0.2895,0.2105,0.2105,0.2895,0.2,0.56,0.09,0.15,0.8351800554016622,0.2642,1.55814461804655,0.579818495252942,0.3494736842105263,False,ask_spades_11,sell_diamonds,False,0.0
6,8.53,clubs,0.2688,0.1935,0.2688,0.2688,0.14,0.58,0.11,0.17,0.8671522719389524,0.23700000000000004,1.6422277352570913,0.5447271754416722,0.3864516129032257,False,ask_hearts_10,sell_clubs,False,0.0
6,10.21,clubs,0.2688,0.1935,0.2688,0.2688,0.23,0.51,0.12,0.14,0.8671522719389524,0.327,1.6422277352570913,0.6733445532637656,0.31645161290322577,False,bid_clubs_3,pass,False,0.0
6,18.34,clubs,0.211,0.1488,0.211,0.4292,0.18,0.38,0.24,0.2,0.9978233773569847,0.5144,1.9052598430924377,0.9675840262617056,0.26020028612303286,False,bid_spades_4,pass,False,0.0
7,4.66,clubs,0.2519,0.5307,0.0898,0.1276,0.31,0.65,0.02,0.02,0.30806167472758006,0.2194,0.6335828422440151,0.4307829160924542,0.1774045801526718,True,ask_clubs_17,pass,False,0.0
7,6.66,clubs,0.2519,0.5307,0.0898,0.1276,0.37,0.54,0.04,0.05,0.30806167472758006,0.3525999999999999,0.6335828422440151,0.616186139423817,0.1274045801526718,True,ask_hearts_5,pass,False,0.0
7,8.29,clubs,0.2394,0.5108,0.0813,0.1685,0.26,0.65,0.05,0.04,0.33163881453809047,0.19419999999999998,0.6717713467260777,0.4307829160924542,0.15975814253466625,True,ask_spades_9,pass,False,0.0
7,12.1,clubs,0.2394,0.5108,0.0813,0.1685,0.24,0.64,0.05,0.07,0.33163881453809047,0.19459999999999997,0.6717713467260777,0.4462871026284195,0.12975814253466622,True,sell_diamonds,sell_diamonds,True,0.0
7,12.98,clubs,0.4065,0.4065,0.0581,0.129,0.16,0.75,0.04,0.05,0.5375234131113423,0.0922,0.9002903905277139,0.2876820724517809,0.34354838709677415,False,ask_clubs_14,pass,False,0.0
8,5.67,diamonds,0.1292,0.1796,0.3456,0.3456,0.18,0.27,0.23,0.32,0.5966427099338205,0.6205999999999999,1.0624993867047083,1.1394342831883648,0.1411819290524418,False,ask_clubs_8,pass,False,0.0
8,6.72,diamonds,0.1292,0.1796,0.3456,0.3456,0.19,0.31,0.21,0.29,0.5966427099338205,0.6804,1.0624993867047083,1.2378743560016174,0.1911819290524418,False,ask_diamonds_12,pass,False,0.0
8,8.13,diamonds,0.1292,0.1796,0.3456,0.3456,0.14,0.26,0.23,0.37,0.5966427099338205,0.537,1.0624993867047083,0.9942522733438669,0.1155909645262209,False,ask_hearts_12,pass,False,0.0
