game,t,true_goal,posterior_spades,posterior_clubs,posterior_hearts,posterior_diamonds,jev_spades,jev_clubs,jev_hearts,jev_diamonds,brier_posterior,brier_jev,logloss_posterior,logloss_jev,tv_distance,top1_agree,classical_action,jev_action,action_agree,regret
0,12.22,diamonds,0.3347,0.3347,0.1032,0.2274,0.22,0.49,0.13,0.16,0.8316986149584485,1.011,1.4811835769104214,1.8325814637483102,0.18210526315789477,False,bid_clubs_7,sell_spades,False,3.3894736842105253
0,12.31,diamonds,0.3347,0.3347,0.1032,0.2274,0.24,0.51,0.12,0.13,0.8316986149584485,1.089,1.4811835769104214,2.0402208285265546,0.19210526315789475,False,bid_diamonds_5,pass,False,0.0
0,15.43,diamonds,0.4348,0.2871,0.0848,0.1934,0.26,0.46,0.12,0.16,0.9293072509765625,0.9991999999999999,1.643204774904918,1.8325814637483102,0.208125,False,ask_clubs_10,pass,False,0.0
0,16.53,diamonds,0.4348,0.2871,0.0848,0.1934,0.29,0.48,0.12,0.11,0.9293072509765625,1.121,1.643204774904918,2.2072749131897207,0.228125,False,bid_diamonds_4,pass,False,0.0
0,26.35,diamonds,0.35,0.2167,0.2167,0.2167,0.25,0.44,0.16,0.15,0.83,1.0042,1.529395204760564,1.8971199848858813,0.22333333333333333,False,bid_hearts_4,pass,False,0.0
1,5.97,diamonds,0.1796,0.3456,0.3456,0.1292,0.21,0.35,0.2,0.24,1.0294864450205163,0.7842,2.0466329036825774,1.4271163556401458,0.1455909645262209,True,bid_spades_3,pass,False,0.0
1,7.8,diamonds,0.1685,0.3315,0.3315,0.1685,0.19,0.34,0.18,0.29,0.9395698254828528,0.6882,1.780821376478655,1.2378743560016174,0.15150031126789792,True,bid_hearts_7,pass,False,0.0
1,9.72,diamonds,0.1685,0.3315,0.3315,0.1685,0.15,0.45,0.18,0.22,0.9395698254828528,0.8658000000000001,1.780821376478655,1.5141277326297755,0.16999999999999998,True,bid_clubs_7,pass,False,0.0
1,12.4,diamonds,0.1549,0.3124,0.3124,0.2202,0.25,0.4,0.16,0.19,0.8272810076938246,0.9042000000000001,1.5131223012446207,1.6607312068216509,0.18265350401388586,True,ask_clubs_12,pass,False,0.0
1,14.58,diamonds,0.1549,0.3124,0.3124,0.2202,0.37,0.31,0.17,0.15,0.8272810076938246,0.9843999999999999,1.5131223012446207,1.8971199848858813,0.21508570188761122,False,bid_spades_2,sell_diamonds,False,3.2902292615896434
2,6.69,clubs,0.173,0.2428,0.3414,0.2428,0.2,0.31,0.13,0.36,0.7788091120725981,0.6625999999999999,1.4155497192686803,1.171182981502945,0.21142640364188164,False,ask_diamonds_9,pass,False,0.0
2,11.65,clubs,0.1549,0.3124,0.3124,0.2202,0.25,0.5,0.1,0.15,0.642859224226695,0.34500000000000003,1.163367800150462,0.6931471805599453,0.2826535040138859,True,ask_hearts_12,pass,False,0.0
2,12.75,clubs,0.1549,0.3124,0.3124,0.2202,0.15,0.49,0.08,0.28,0.642859224226695,0.36740000000000006,1.163367800150462,0.7133498878774648,0.23734649598611413,True,bid_diamonds_4,sell_hearts,False,5.083315252766328
2,17.39,clubs,0.1336,0.2755,0.3984,0.1925,0.2,0.23,0.24,0.33,0.7385842062448992,0.7994,1.289268963524239,1.4696759700589417,0.20389499896244037,False,bid_clubs_6,buy_diamonds,False,4.60123123746282
2,20.07,clubs,0.1336,0.2755,0.3984,0.1925,0.28,0.31,0.09,0.32,0.7385842062448992,0.6649999999999999,1.289268963524239,1.171182981502945,0.3084229093172858,False,ask_hearts_14,pass,False,0.0
3,3.56,spades,0.2688,0.1935,0.2688,0.2688,0.21,0.52,0.11,0.16,0.7166146375303504,0.9322,1.3137236682850553,1.5606477482646683,0.3264516129032258,False,bid_hearts_5,pass,False,0.0
3,11.65,spades,0.25,0.25,0.25,0.25,0.26,0.6,0.07,0.07,0.75,0.9174,1.3862943611198906,1.3470736479666092,0.36,False,ask_diamonds_10,pass,False,0.0
3,19.41,spades,0.2713,0.2713,0.1862,0.2713,0.19,0.47,0.19,0.15,0.712879130828429,0.9356000000000002,1.3046163301056233,1.6607312068216509,0.20255319148936174,False,ask_clubs_10,pass,False,0.0
3,20.6,spades,0.2713,0.2713,0.1862,0.2713,0.25,0.51,0.14,0.1,0.712879130828429,0.8522,1.3046163301056233,1.3862943611198906,0.23872340425531918,False,ask_hearts_8,pass,False,0.0
