game,t,true_goal,posterior_spades,posterior_clubs,posterior_hearts,posterior_diamonds,jev_spades,jev_clubs,jev_hearts,jev_diamonds,brier_posterior,brier_jev,logloss_posterior,logloss_jev,tv_distance,top1_agree,classical_action,jev_action,action_agree,regret
0,12.22,diamonds,0.3347,0.3347,0.1032,0.2274,0.5,0.24,0.23,0.03,0.8316986149584485,1.3014,1.4811835769104214,3.506557897319982,0.29210526315789476,True,bid_clubs_7,bid_spades_8,False,0.0
0,12.31,diamonds,0.3347,0.3347,0.1032,0.2274,0.38,0.44,0.16,0.02,0.8316986149584485,1.3239999999999998,1.4811835769104214,3.912023005428146,0.20736842105263165,False,bid_diamonds_5,bid_clubs_8,False,0.0
0,15.43,diamonds,0.4348,0.2871,0.0848,0.1934,0.43,0.42,0.12,0.03,0.9293072509765625,1.3166,1.643204774904918,3.506557897319982,0.16812499999999997,True,ask_clubs_10,buy_diamonds,False,7.94140625
0,16.53,diamonds,0.4348,0.2871,0.0848,0.1934,0.22,0.63,0.14,0.01,0.9293072509765625,1.445,1.643204774904918,4.605170185988091,0.398125,False,bid_diamonds_4,pass,False,0.0
0,26.35,diamonds,0.35,0.2167,0.2167,0.2167,0.19,0.71,0.07,0.03,0.83,1.486,1.529395204760564,3.506557897319982,0.49333333333333335,False,bid_hearts_4,bid_clubs_8,False,0.0
1,5.97,diamonds,0.1796,0.3456,0.3456,0.1292,0.48,0.05,0.08,0.39,1.0294864450205163,0.6113999999999999,2.0466329036825774,0.941608539858445,0.5611819290524418,False,bid_spades_3,pass,False,0.0
1,7.8,diamonds,0.1685,0.3315,0.3315,0.1685,0.43,0.09,0.09,0.39,0.9395698254828528,0.5731999999999999,1.780821376478655,0.941608539858445,0.48300062253579584,False,bid_hearts_7,bid_spades_8,False,0.0
1,9.72,diamonds,0.1685,0.3315,0.3315,0.1685,0.32,0.09,0.16,0.43,0.9395698254828528,0.4610000000000001,1.780821376478655,0.843970070294529,0.41300062253579584,False,bid_clubs_7,buy_spades,False,6.187106591962371
1,12.4,diamonds,0.1549,0.3124,0.3124,0.2202,0.54,0.06,0.12,0.28,0.8272810076938246,0.8280000000000001,1.5131223012446207,1.2729656758128873,0.44486439574745074,False,ask_clubs_12,pass,False,0.0
1,14.58,diamonds,0.1549,0.3124,0.3124,0.2202,0.35,0.38,0.13,0.14,0.8272810076938246,1.0233999999999999,1.5131223012446207,1.9661128563728327,0.2626535040138859,True,bid_spades_2,pass,False,0.0
2,6.69,clubs,0.173,0.2428,0.3414,0.2428,0.2,0.06,0.1,0.64,0.7788091120725981,1.3432,1.4155497192686803,2.8134107167600364,0.4242185128983308,False,ask_diamonds_9,pass,False,0.0
2,11.65,clubs,0.1549,0.3124,0.3124,0.2202,0.58,0.03,0.18,0.21,0.642859224226695,1.3538,1.163367800150462,3.506557897319982,0.4250857018876112,False,ask_hearts_12,bid_spades_8,False,0.0
2,12.75,clubs,0.1549,0.3124,0.3124,0.2202,0.42,0.07,0.31,0.2,0.642859224226695,1.1774,1.163367800150462,2.659260036932778,0.26508570188761127,False,bid_diamonds_4,sell_hearts,False,5.083315252766328
2,17.39,clubs,0.1336,0.2755,0.3984,0.1925,0.18,0.04,0.16,0.62,0.7385842062448992,1.3639999999999999,1.289268963524239,3.2188758248682006,0.4738949989624403,False,bid_clubs_6,buy_diamonds,False,4.60123123746282
2,20.07,clubs,0.1336,0.2755,0.3984,0.1925,0.24,0.06,0.06,0.64,0.7385842062448992,1.3544,1.289268963524239,2.8134107167600364,0.5538949989624404,False,ask_hearts_14,buy_spades,False,7.116760047036038
